word,definition
MESSAGE,verbal written or recorded communication
SELL,give or hand over something in exchange for money
BALD,lacking hair
RESULT,thing that is caused or produced by something else
STAY,remain in same place
THIRTY QUESTIONS,number equivalent to product of three and ten questions
D,fourth letter of alphabet
SUCCEED,achieve desired aim or result
ACCOMPANY,happen at same time as
DISCUSS,talk about something with person or people
AMAZON,the largest online retailer and technology provider
RUDE,offensively impolite or bad-mannered
KEY,implement for opening or closing lock
BREATHING,process of taking air into and expelling it from lungs
BEAN,edible seed growing in pod
OVEN,enclosed compartment for cooking and heating food
HUNGER,feel or suffer hunger
WIFE,married woman in relation to her spouse
ALTERNATIVE,available as possibility
STREET,"public road in city, town, or village"
BRAWL,rough or noisy fight or quarrel
ALLERGIC,caused by or relating to allergy
RUDY,first name of speaker for AWS
BATCH,arrange (things) in sets or groups
DON'T,do not
SERVERS,computer or computer program which manages access to centralized resource or service in network
DELICIOUS,highly pleasant to taste
HELP YOU,assist someone to do something
DIVIDE,separate into parts
SAND,loose granular substance resulting from erosion of siliceous and other rocks
CONFIRM,establish truth or correctness of
BRICK,small block used in building
BAND-AID,piece of sticking plaster
OPPORTUNITY,time or set of circumstances that makes it possible to do something
DEFINITION,statement of word's meaning
UNDER,extending or directly below
BURRO,a small donkey used as a pack animal
CHINA,country in East Asia
FOOTBALL,team game in which ball is kicked
PROTECT,keep safe from harm or injury
LEAD,be in charge of
BLAMELESS,innocent of wrongdoing
UNIFORM,denoting garment forming part of person's uniform
VERY,actual
LUGGAGE,suitcases or other bags in which to pack personal belongings for travelling
LAMP,device for giving light
EASY,achieved without great effort
ATM,automated teller machine
BURGER,"a dish consisting of a flat round cake of minced beef, or another savoury ingredient, that is fried or grilled and served in a split bun or roll with various condiments and toppings"
INVEST,put money into something in hope of making profit
MASSACHUSETTS,"state in north-eastern US, on Atlantic coast"
WIPE,"a disposable cloth treated with a cleansing agent, for wiping things clean"
AILING,in poor health
HEAT,high temperature
SLEEP,condition of body and mind in which consciousness of surroundings is practically suspended
CD,a compact disc
BLAINE SUNDRUD,Blaine Sundrud from AWS
SAFE,uninjured
COST,estimate price of
ATTRACTION,action or power of attracting
UNIVERSE,all existing matter and space considered as whole
GRANDSON,son of one's son or daughter
BURBLE,make a continuous murmuring noise
CONFUSE,make someone bewildered or perplexed
BLOCK,stop movement or flow in
LIST 1/4,First option in a four option list in ASL
WOW,expressing astonishment or admiration
WEEKS,multiple periods of seven days
NAVIGATE,"to plan a route or course, or move towards somethinng"
SET-UP,way in which something is organized
PILOT,person flying aircraft
CHILD,young human
BUSINESS-WEEK,the total number of hours or days worked in a week
BBQ SEASONING,seasoning used for barbeque.
GAMES,activity done for amusement
COAT,outdoor garment
EXPLANATIONS,statement or account that makes something clear
GALLAUDET UNIVERSITY,"Gallaudet University is a private federally chartered university in Washington, D.C., for the education of the deaf and hard of hearing."
CACOON,a silky case spun by the larvae of many insects for protection as pupae
CREATIVITY,use of imagination or original ideas
TOUCH FACE,come into or be in contact with face
FINE,satisfactorily or well
BABYSIT,look after child or children while parents are out
HALF,either of two parts into which thing is divided
BANNED,officially or legally prohibit (something)
ADVOCATE,supporter of cause
BOX,square or rectangular container
CHECK MARK,"a mark (?) used to indicate that an item in a list or text is correct or has been chosen, checked, or dealt with; a tick"
OFFICE,place of business
ENGAGED,having formally agreed to marry
INJURY,instance of being injured
ADOPTION PAPERS,documentation relating to the adoption of a particular child
BIRTH CERTIFICATE,official document issued to record person's birth
ELEPHANT,"very large plant-eating mammal with prehensile trunk, long curved ivory tusks"
TENNIS,game in which two or four players strike ball with rackets over net stretched across court
BOORISH,rough and bad-mannered
DOWNTOWN,downtown area of town or city
TIME,indefinite continued progress of existence
AMPUTATE,cut off limb by surgical operation
APPEAR,become visible or noticeable
FRACTION,quantity that is not whole number
PAPER,material for writing or wrapping
INTEGRATE,combine with another to form whole
POST,item of content published online
1820,The year 1820
FEDERAL,having or relating to a system of government in which several states form a unity but remain independent in internal affairs
FULL,having no empty space
MAN,adult human male
BUDGE,make or cause to make the slightest movement
NOT,used to form negative with auxiliary verbs
FAR,situated at great distance
EDUCATION,process of educating or being educated
ADDENDUM,item of additional material added at end of book
ALL OF YOU,"“All of you” is synonymous with “you all,” but we mostly use it when we're talking in other dialects besides certain US English ones."
BEQUEST,"the money or property belonging to someone that they say that, after their death, they wish to be given to other people such as a will"
SMOKE,inhale and exhale smoke of tobacco
3 HAND,a number that is one more than 2
BIBILE,Christian scriptures
IF,condition or supposition
LEARN,gain knowledge of or skill in something
ACTIVITY, a thing that you do for interest or pleasure
HISTORIANS,"an expert in or student of history, especially that of a particular period, geographical region, or social phenomenon"
HAVE,experience or undergo
SLAVE,a person who is forced to work for and obey another and is considered to be their property; an enslaved person
AGITATE,make someone troubled or nervous
BOOT,item of footwear covering foot and ankle
CARD,plastic card
CAFE,small restaurant selling light meals and drinks
SALESPERSON,salesman or saleswoman
IMPRESS,make someone feel admiration
EXPENSE,money spent on something
SHOW,allow or cause to be visible
TOP RIGHT,indicating the top right
ANONYMITY,condition of being anonymous
CHILDREN,a young human being below the age of puberty or below the legal age of majority.
BEAST,large animal
APPREHENSION,anxiety or fear
LOWER,less high in position
POPCORN,maize of variety with hard kernels that swell up and burst open when heated
THROUGH,so as to continue towards completion of something
CLOSET,tall cupboard or wardrobe
BIKE,bicycle or motorcycle
ZOOM,"communicate with someone over the internet, typically by video chat, using the software application Zoom"
BRITISH,relating to Great Britain or United Kingdom
AFRICAN AMERICAN,black American
STRUCTURE,building or other object constructed from several parts
PROFIT,financial gain
CREDIT CARD,small plastic card issued by bank
TEEN,years of person's age from 13 to 19
STREET,"public road in city, town, or village"
BLOOD SUGAR CRASH,"When the body has more sugar than it's used to, it rapidly produces insulin in an attempt to keep the levels consistent."
RECOMMEND,put forward person or thing with approval as being suitable for particular purpose or role
WHERE,in or to what place or position
SHIRT,"garment for upper body made of cotton or similar fabric, with collar and sleeves"
KITCHEN,room where food is prepared
SENSITIVE,quick to detect or respond to slight changes or influences
BULLY,a person who habitually seeks to harm or intimidate those whom they perceive as vulnerable
DEAD,no longer alive
PREVIOUS,existing or occurring before in time or order
NEAR,located short distance away
VIDEOS,"system of recording, reproducing, or broadcasting moving visual images"
EMPLOYEE,person employed for wages
BRONX,a borough in northeastern New York City
IRELAND,"island of British Isles, lying west of Great Britain"
LOVE,strong feeling of affection
RAIL BAR,usually made of wood or metal and is placed on top of a bar
BLEED,lose blood from body
DRIVEWAY,short road leading up to house
BOW,act of bowing
BLOW UP,explode
LOVE,like or enjoy very much
VALLEY,low area of land between hills or mountains
WIND,perceptible natural movement of air
BURGLARY,"illegal entry of a building with intent to commit a crime, especially theft"
INSTAGRAM,post photograph on Instagram
DOWNLOAD,copy data from one computer system to another
REAR,back part of something
ABRUPT,sudden
BUFFET,a meal consisting of several dishes from which guests serve themselves
LIBERTY,"the state of being free within society from oppressive restrictions imposed by authority on one's way of life, behaviour, or political views"
ALABAMA,"state in south-eastern US, on Gulf of Mexico"
AIRPORT,"complex of runways and buildings for take-off, landing, and maintenance of civil aircraft"
HONEYMOON,holiday spent together by newly married couple
DOLLAR,"basic monetary unit of US, Canada, Australia, and certain countries in Pacific"
CHECK,"examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something"
OPINION,view not based on fact
LEGACY,long-lasting impact of particular events or of person's life
BETTER,more satisfactory or effective
WASHINGTON,"state of north-western US, on Pacific coast"
TRUE,in accordance with fact or reality
BOMBARD,attack place with missiles
PHOTOGRAPHER,person who takes photographs
COMPETITION,activity of striving to gain something by defeating others
STRONG,having power to move heavy weights or perform other physically demanding tasks
LIVING,alive
TOO SMALL,insignificant
CRAZY,mad
TIE,a result in a game or other competitive situation in which two or more competitors or teams have the same score or ranking; a draw
ANNOYING,causing irritation or annoyance
ALL OF US,the statement or sentiment being expressed applies to everyone in the group or conversation
FROM,indicating point where thing starts
SINCE,in intervening period between time mentioned and time under consideration
CHASE,try to catch
bitter,not sweet
CAUCASIAN,white-skinned
COW,domesticated female bovine animal
ASSIGNMENT,allocated task
HOW,used to ask about condition or quality
SAD,feeling or showing sorrow
MOVIE,cinema film
CORD,string or rope
GENERAL,affecting or concerning most people or things
APPLE,round fruit of tree of rose family
AUDIENCE,group of spectators
LOW,of less than average height
BREAK BONE,cracking or breaking of bone
SLAVERY,the state of being a slave
IF,on condition that
INDIA,country in southern Asia
ONE,lowest cardinal number
ENTRANCE,opening that gives access
DELAWARE,river of north-eastern US. Rising in Catskill Mountains in New York State
MOTHER IN LAW,mother of one's husband or wife
WORK,be engaged in physical or mental activity
MARTIN LUTHER KING,"the most important leader of the US civil rights movement, born in 1929, died in 1968."
ACTIVE,physically energetic
HASHTAG,add hashtag to digital content
CENT,"monetary unit in various countries, equal to one hundredth of dollar"
ASK FOR A RAISE,act of asking politely or formally for a raise
SLEEP,be in state of sleep
SHOOTING,action or practice of shooting
HAND,end part of person's arm including fingers
ART,application of creative skill and imagination
PAINTING,"action or skill of using paint, either in picture or as decoration"
FLOWER,part of plant consisting of reproductive organs
AFFLICT,cause pain or trouble to
BALANCE BEAM,"a long, narrow, horizontal wooden beam raised on which women gymnasts perform balancing routines consisting of jumps, tumbles, turns, running steps, etc."
BLEND,mix substances together
MUSIC,sound produced by instruments
APPOINTMENT,arrangement to meet
CONSIDER,think carefully about
PRICE,money paid for something
FINGER,each of four jointed parts attached to hand
ON TIME,At the arranged or correct time; not late
MINIMUM,least or smallest amount or quantity possible or required
TRIBAL,of or characteristic of a tribe or tribes
BIRTHMARK,unusual mark on someone's body which is there from birth
RAT,rodent that resembles large mouse
PATTERN,example to follow
ACCOUNTABILITY,fact or condition of being accountable
PREVIOUS,existing or occurring before in time or order
THIN PATH,thin way or track for walking
SOMETIME,at some unspecified or unknown time
BATTERY,container used as source of power
SUPERIOR,higher in rank or quality
BILLFOLD,wallet
SETS,"put, lay, or stand multiple things in a specified place or position"
IMPRESSIVE,evoking admiration through size or skill
CAFFEINATED,"(of coffee or tea) containing natural amount of caffeine, or with caffeine added"
SMARTWATCH,mobile device designed to be worn on wrist
ONE,lowest cardinal number
BEAUTIFUL,pleasing senses or mind aesthetically
BEST FRIEND,a person's closest friend
BLOUSE,woman's upper garment
TURBULENCE,violent or unsteady movement of air or water
SURPRISE,"unexpected or astonishing event, fact"
BALD,lacking hair
DIRTY,covered or marked with dirt
BORING,not interesting
PAY OFF,to pay a debt in full
ITSELF,used as the object of a verb or preposition to refer to a thing or animal previously mentioned as the subject of the clause
BESTOW,confer or present
YEAR,time taken by earth to make one revolution around sun
TRUE,in accordance with fact or reality
I-PHONE,"Apple's mobile device that combines an iPod music and video player, mobile phone and Internet browser capability in a handheld unit with a touchscreen interface."
ADDICT,person who is addicted to substance
RENT,tenant's regular payment to landlord for use of property or land
BAFFLE,totally bewilder or perplex
BETWEEN,"at, into, or across space separating things"
ALZHEIMER,Alzheimer's disease is the most common type of dementia
POINT FRONT,direct someone's attention towards something by extending one's finger or something held in one's hand
BROWN-HAIR,(of hair) dark brown
BEER,alcoholic drink made from yeast-fermented malt flavoured with hops
CHILDREN,young humans being below the age of puberty or below the legal age of majority
BASKETBALL,game in which goals are scored by throwing ball through hoop
DIDN'T KNOW,did not have that knowledge or information
BREAKDOWN,mechanical failure
NEW,not existing before
SERVICES,assistance or advice given to customers
DRESSING ROOM,room in which actors or sports players change clothes before and after their performance or game
KNOWLEDGE,information and skills acquired through experience and education
BENDING,"curve in road, river, etc."
ASTRONOMY,branch of science which deals with celestial objects
