word,definition,ner,root_word,pos
MESSAGE,verbal written or recorded communication,,message,NN
SELL,give or hand over something in exchange for money,,sell,NN
BALD,lacking hair,,bald,NN
RESULT,thing that is caused or produced by something else,,result,NN
STAY,remain in same place,,stay,NN
THIRTY QUESTIONS,number equivalent to product of three and ten questions,,thirty questions,NNS
D,fourth letter of alphabet,,d,NN
SUCCEED,achieve desired aim or result,,succeed,VB
ACCOMPANY,happen at same time as,,accompany,NN
DISCUSS,talk about something with person or people,,discus,NN
AMAZON,the largest online retailer and technology provider,I-ORG,amazon,NN
RUDE,offensively impolite or bad-mannered,,rude,NN
KEY,implement for opening or closing lock,,key,NN
BREATHING,process of taking air into and expelling it from lungs,,breathing,NN
BEAN,edible seed growing in pod,,bean,NN
OVEN,enclosed compartment for cooking and heating food,,oven,RB
HUNGER,feel or suffer hunger,,hunger,NN
WIFE,married woman in relation to her spouse,,wife,NN
ALTERNATIVE,available as possibility,,alternative,NN
STREET,"public road in city, town, or village",,street,NN
BRAWL,rough or noisy fight or quarrel,,brawl,NN
ALLERGIC,caused by or relating to allergy,,allergic,NN
RUDY,first name of speaker for AWS,I-PER,rudy,NN
BATCH,arrange (things) in sets or groups,,batch,NN
DON'T,do not,,don't,NN
SERVERS,computer or computer program which manages access to centralized resource or service in network,,server,NNS
DELICIOUS,highly pleasant to taste,,delicious,JJ
HELP YOU,assist someone to do something,,help you,NN
DIVIDE,separate into parts,,divide,NN
SAND,loose granular substance resulting from erosion of siliceous and other rocks,,sand,NN
CONFIRM,establish truth or correctness of,,confirm,NN
BRICK,small block used in building,,brick,NN
BAND-AID,piece of sticking plaster,,band-aid,NN
OPPORTUNITY,time or set of circumstances that makes it possible to do something,,opportunity,NN
DEFINITION,statement of word's meaning,,definition,NN
UNDER,extending or directly below,,under,IN
BURRO,a small donkey used as a pack animal,I-PER,burro,NN
CHINA,country in East Asia,I-LOC,china,NN
FOOTBALL,team game in which ball is kicked,,football,NN
